spotifyid,link,genre,notes
6QNoUtm2UCyx05hWg6hUMC,https://p.scdn.co/mp3-preview/2f34a3197d17826726fa7f4aaeced90ac70b3dab,Rock / Pop,
7ywRzgEeXRl2n9peaY3T0M,https://p.scdn.co/mp3-preview/0e0d49de744504b7c4f6a9866099e7bca3abb64b,Country / Folk,
4VUWaLcHxw3GqWKzmM8d9Y,https://p.scdn.co/mp3-preview/623b58c98efcfc82d86921742f6467ce9412e104,Rock / Pop,
7jHgcBbJ2apigcymFjKpwV,https://p.scdn.co/mp3-preview/f75455d25f6651da2587f2736ce9053e3e8cfd40,Rock / Pop,
3zZXPZYPLCDPxjVuDSO04A,https://p.scdn.co/mp3-preview/d143da5316f7bdedfaab6723b15ebc31b6c6f7cf,Rock / Pop,
4RpE0CxS911ZZ2jV29wZ0G,https://p.scdn.co/mp3-preview/13ec9299e26a1f8b7d85ed812a62c61d1627ed82,Country / Folk,
3gGkzrGSU1vyFWDuegFo6w,https://p.scdn.co/mp3-preview/5698f13a9a170054f1e12a03220b47b02feac2de,Soul / Funk / Disco,
5Za40sgB0MiepRMcV36FhK,https://p.scdn.co/mp3-preview/fc0c6344450504380660586227c7d65e341fa18d,Soul / Funk / Disco,
4Xf7h2i79JQcH2tI5OUbgf,https://p.scdn.co/mp3-preview/f352366ab605126a66dc4c93abb7a9a20ea9e729,Classical,
2wAylEs7Z4Puo7isAB9AmZ,https://p.scdn.co/mp3-preview/cd078d83d0751278f89f5c1bd39a405e632e6c94,Rock / Pop,
2zhXFpTDdEhV670qoQOlhk,https://p.scdn.co/mp3-preview/682ec735f3f02ac693e7ed191f8a6997076ff9b2,Rock / Pop,
1kKu94HEkzxPAHu79Vaieu,https://p.scdn.co/mp3-preview/3c164f0b1af3c7ffe26585bba25fd4017a535ba6,Rock / Pop,
2Q99uwVK0Xf8fS8GgEjNCy,https://p.scdn.co/mp3-preview/7128b4f367699dd814f97e288d848587725f87d4,Rock / Pop,
2RoPntWsZDC4GBqcuIUooq,https://p.scdn.co/mp3-preview/d19fa86d0e25e66078eb24f26303802168b59bba,Classical,
02FL5rzPup35zsuPbChlo5,https://p.scdn.co/mp3-preview/96e300ec29d0e1677b750d0f96abb440104054e8,Country / Folk,
09md2L7Tdjw3QnqIeLQ1Ng,https://p.scdn.co/mp3-preview/f53e9ce250a0e8c555c12e15bb7ad3bedef412a8,Rock / Pop,
1CO5BWnP5fihWrnZrvtR7H,https://p.scdn.co/mp3-preview/c6c9c213b9a30a7a80678b3383f0fd9841ee53c4,Instrumental,
7gbfDTr6t5LZuUxgjAmQu7,https://p.scdn.co/mp3-preview/921fb2cbb11ea46c28cb69029f5c46f00a4bc498,Rock / Pop,
7ol2mVqDaMhe5FU0ZWvRIM,https://p.scdn.co/mp3-preview/049fd3b6b8e718d85e637c55407d35108c26a9da,Soul / Funk / Disco,
7H8wowUoquFvmoFxvm0AOl,https://p.scdn.co/mp3-preview/fbcf0a5661158442117c51f940375eaeffbe98bd,Instrumental,
4lEsslbUX5zVkqPiaUbVoo,https://p.scdn.co/mp3-preview/2d09441adcdca88b2a89428662220bf20cc6b67d,Classical,
0x4hgUJKtEumf46t33r30g,https://p.scdn.co/mp3-preview/80699dac56f1a4cd31bc85fcf9056b8c8a7b4c48,Country / Folk,
1D2Fyi8073rpaSLvEzHySw,https://p.scdn.co/mp3-preview/dbc14ac8bd8b396ec16b7dae887e147af6034a67,Rock / Pop,
13YUN4hPaXUoMLG390ynJ0,https://p.scdn.co/mp3-preview/cc598d5e517dd0e500c113e6e9b72543606f0fa2,Soul / Funk / Disco,
4ftreZ7vSDlPQtUI7xYAN6,https://p.scdn.co/mp3-preview/1f052186eb5b7bb7e3392d4b0c8eb695fde11e4b,Soul / Funk / Disco,
3ZJuuYu6emTMBPQSBJ82jr,https://p.scdn.co/mp3-preview/c5beaae6db0db957d4fc2036fcee624d91283283,Classical,
279tgopO2kq14GIIr2ocCJ,https://p.scdn.co/mp3-preview/5b8ab075a981a89f90fe915ea21be50ba186249f,Classical,
40m8cswtJIU5YwbHpvw5DS,https://p.scdn.co/mp3-preview/8ce882a92c583f65dc200b77ff73433c6e4f6f04,Classical,
2xwYoqvUkERx04XXAdvFfl,https://p.scdn.co/mp3-preview/1c50da7746994cfdeb7508739bcdcda943bea051,Country / Folk,
